Location,Tray,Cross_ID,Awn_dif,Thresh_dif_chance,Entry,Infert_1,SpS_1,Infert_2,SpS_2,Infert_3,SpS_3,Infert_4,SpS_4,Infert_5,SpS_5,Infert_6,SpS_6,Notes
K22,2.12.4,UX1992,,1,306,0,24,0,24,0,23,0,21,0,24,,,
K22,2.13.1,UX1992,,1,231,1,18,1,17,1,16,0,17,0,18,,,
K22,2.13.2,UX1992,,1,147,0,20,0,20,3,16,0,21,1,19,,,
K22,2.13.3,Parent,,1,NC8248-1,1,15,0,16,1,15,1,16,3,17,,,
K22,2.13.4,UX1992,,1,312,0,19,2,18,0,18,0,19,0,19,,,
K22,2.14.1,UX1992,,1,286,1,23,0,22,3,18,1,22,1,21,,,
K22,2.14.2,UX1992,,1,331,0,22,2,16,2,13,1,15,1,23,,,
K22,2.14.3,UX1992,,1,55,0,18,1,16,1,17,1,15,1,15,,,
K22,2.14.4,Parent,,1,SS8641,0,21,1,21,1,18,1,19,1,19,,,
K22,2.15.1,UX1992,,1,219,1,20,1,22,1,21,0,20,1,19,,,
K22,2.15.2,UX1992,,1,22,0,22,0,19,0,23,1,23,1,18,,,
K22,2.15.3,UX1992,,1,228,0,20,1,20,1,18,1,17,2,18,,,
K22,2.15.4,UX1992,,1,315,1,20,0,22,0,23,0,23,0,21,,,
K22,2.16.1,UX1992,,1,87,1,21,1,17,0,22,0,21,0,20,,,
K22,2.16.2,UX1992,,1,239,2,21,1,19,1,16,1,22,1,21,,,
K22,2.16.3,Parent,,1,GA00190-7A14,0,18,1,18,1,19,0,15,,,,,
K22,2.16.4,UX1992,,1,45,1,17,1,19,0,20,0,22,0,23,,,
K22,2.17.1,UX1992,,1,224,2,19,1,21,1,18,1,17,2,19,,,
K22,2.17.2,Parent,,1,NC08-23383,2,16,1,17,1,16,0,16,1,16,,,
K22,2.17.3,UX1992,,1,292,1,21,1,22,0,20,1,23,0,19,,,
K22,2.17.4,UX1992,,1,226,1,18,2,21,1,22,2,20,1,20,,,
K22,2.18.1,UX1992,,1,222,2,22,1,21,1,18,1,22,0,19,,,
K22,2.18.2,UX1992,,1,154,1,19,0,20,2,18,0,18,1,19,,,
K22,2.18.3,UX1992,,1,194,0,21,0,20,0,20,0,21,0,20,,,
K22,2.18.4,Parent,,1,MPV57,0,22,0,22,0,23,1,22,0,18,,,
K22,2.19.1,UX1992,,1,275,0,24,0,22,0,23,0,25,0,22,,,
K22,2.19.2,UX1992,,1,336,2,18,1,18,0,16,0,22,0,20,,,
K22,2.19.3,UX1992,,1,241,1,17,0,16,1,15,0,15,2,18,,,
K22,2.19.4,UX1992,,1,337,0,18,0,18,0,18,0,19,0,17,,,
K22,2.20.1,Parent,,1,AGS2000,0,14,1,17,2,16,1,15,1,17,,,
K22,2.20.2,UX1992,,1,157,0,16,1,17,1,17,0,18,0,19,,,
K22,2.20.3,UX1992,,1,217,1,19,1,21,0,21,0,22,0,22,,,
K22,2.20.4,UX1992,,1,276,0,21,2,20,0,22,1,19,0,20,,,
K22,3.1.2,UX2023,,1,87,1,20,0,19,0,19,0,21,0,19,,,
K22,3.1.3,UX2023,,1,16,2,17,1,20,1,14,1,19,1,16,,,
K22,3.1.4,UX2023,,1,106,1,17,0,16,0,20,1,16,0,18,,,
K22,3.2.1,UX2023,,1,12,1,18,1,17,1,14,1,16,1,17,,,
K22,3.2.2,UX2023,,1,93,2,17,0,13,0,16,1,17,1,16,,,
K22,3.2.3,Parent,,1,GA00190-7A14,1,16,0,18,0,17,0,17,0,17,,,
K22,3.2.4,UX2023,,1,17,1,17,1,18,2,17,0,18,0,17,,,
K22,3.3.1,UX2023,,1,115,0,16,1,15,1,16,0,21,1,18,,,
K22,3.3.2,UX2023,,1,92,0,16,1,16,0,18,0,17,0,15,,,
K22,3.3.3,UX2023,,1,66,2,16,2,17,3,12,0,13,0,17,,,
K22,3.3.4,UX2023,,1,124,0,16,0,18,0,16,0,18,0,16,,,
K22,3.4.1,UX2023,,1,91,1,17,1,16,1,18,1,17,1,17,,,
K22,3.4.2,UX2023,,1,68,0,18,0,20,1,16,1,17,1,16,,,
K22,3.4.3,Parent,,1,GA06493-13LE6,1,23,1,21,0,22,1,18,1,21,,,
K22,3.4.4,UX2023,,1,20,1,15,2,14,2,16,1,19,1,17,,,
K22,3.5.1,UX2023,,1,72,0,23,2,23,0,20,0,18,0,20,,,
K22,3.5.2,Parent,,1,NC8248-1,1,15,1,16,3,13,1,17,2,15,,,
K22,3.5.3,UX2023,,1,14,1,15,2,12,0,16,2,16,2,16,,,
K22,3.5.4,UX2023,,1,95,3,18,1,19,2,18,1,18,0,23,,,
K22,3.6.1,UX2023,,1,100,1,18,1,20,2,18,0,19,0,20,,,
K22,3.6.2,UX2023,,1,81,2,19,1,20,0,18,2,19,0,20,,,
K22,3.6.3,UX2023,,1,55,2,14,0,13,3,17,0,15,3,14,,,
K22,3.6.4,UX2023,,1,118,0,20,1,16,1,17,2,14,1,12,,,
K22,3.7.1,UX2023,,1,117,1,18,2,18,2,19,1,14,2,18,,,
K22,3.7.2,UX2023,,1,7,2,19,2,16,1,18,2,17,2,18,,,
K22,3.7.3,Parent,,1,LA09264C-P2,1,16,0,15,0,17,0,16,2,15,,,
K22,3.7.4,UX2023,,1,75,0,16,1,17,1,19,0,18,0,17,,,
K22,3.8.1,UX2023,,1,63,0,18,1,18,0,19,1,18,0,19,,,
K22,3.8.2,UX2023,,1,98,1,13,0,17,0,18,0,18,0,15,,,
K22,3.8.3,UX2023,,1,30,0,16,2,16,0,17,2,17,2,14,,,
K22,3.8.4,UX2023,,1,11,0,19,1,17,1,17,1,18,0,19,,,
K22,3.9.1,UX2023,,1,2,1,19,0,19,1,20,1,19,1,22,,,
K22,3.9.2,UX2023,,1,90,2,20,2,20,1,21,1,17,,,,,
K22,3.9.3,UX2023,,1,53,5,16,1,18,1,16,1,18,1,21,,,
K22,3.9.4,Parent,,1,SS8641,1,20,1,18,1,18,1,18,1,21,,,
K22,3.10.1,UX2023,,1,84,0,20,0,21,0,20,0,23,1,20,,,
K22,3.10.2,Parent,,1,GA001138-8E36,0,18,0,22,0,21,1,18,2,19,,,
K22,3.10.3,UX2023,,1,96,1,17,2,17,2,18,2,17,0,19,,,
K22,3.10.4,UX2023,,1,85,1,18,1,17,1,19,1,17,1,17,,,
K22,3.11.1,Parent,,1,ARGA051160-14LE31,2,19,1,20,1,21,1,20,2,18,,,
K22,3.11.2,UX2023,,1,52,3,18,2,18,1,21,2,18,2,19,,,
K22,3.11.3,UX2023,,1,82,3,21,2,19,1,19,1,21,2,19,,,
K22,3.11.4,UX2023,,1,110,1,18,1,20,0,17,1,20,0,17,,,
K22,3.12.1,UX2023,,1,22,1,19,1,19,1,19,1,19,1,17,,,
K22,3.12.2,Parent,,1,NC08-23383,2,17,2,16,0,18,2,17,1,15,,,
K22,3.12.3,UX2023,,1,125,2,16,1,17,1,19,2,19,1,18,,,
K22,3.12.4,UX2023,,1,50,0,19,1,19,1,18,0,17,0,16,,,
K22,3.13.1,UX2023,,1,60,0,18,1,18,1,17,0,19,0,21,,,
K22,3.13.2,UX2023,,1,102,1,18,1,16,2,19,0,18,1,18,,,
K22,3.13.3,Parent,,1,Hilliard,1,22,1,20,2,20,4,16,1,19,,,
K22,3.13.4,UX2023,,1,3,2,18,2,18,2,18,2,17,2,16,,,
K22,3.14.1,UX2023,,1,103,0,21,0,21,0,17,0,20,1,17,,,
K22,3.14.2,UX2023,,1,54,1,17,2,19,2,19,3,16,,,,,
K22,3.14.3,UX2023,,1,6,2,18,0,18,1,18,1,16,2,17,,,
K22,3.14.4,UX2023,,1,88,1,20,1,22,0,19,2,18,1,22,,,
K22,3.15.1,UX2023,,1,4,0,19,1,19,0,16,2,17,1,16,,,
K22,3.15.2,Parent,,1,MPV57,0,23,1,22,1,23,0,23,0,23,,,
K22,3.15.3,UX2023,,1,79,1,20,0,21,0,22,0,18,0,21,,,
K22,3.15.4,UX2023,,1,104,0,19,1,21,2,19,1,23,2,20,,,
K22,3.16.1,UX2023,,1,114,1,20,2,19,3,15,2,21,2,17,,,
K22,3.16.2,UX2023,,1,70,2,16,2,18,1,17,1,23,2,19,,,
K22,3.16.3,UX2023,,1,89,1,19,1,21,1,21,0,24,0,23,,,
K22,3.16.4,UX2023,,1,21,1,20,1,21,1,22,1,21,2,19,,,
K22,3.17.1,UX2023,,1,18,0,20,0,21,2,18,1,18,1,20,,,
K22,3.17.2,UX2023,,1,99,0,16,1,19,1,16,0,20,1,19,,,
K22,3.17.3,UX2023,,1,10,2,17,2,17,3,16,0,14,3,14,,,Broken 4
K22,3.17.4,Parent,,1,TX12D4896,2,19,2,18,0,19,2,19,1,18,,,
K22,3.18.1,Parent,,1,AGS2000,1,20,1,19,1,17,3,15,0,18,,,
K22,3.18.2,UX2023,,1,83,2,19,0,24,0,19,0,19,4,17,,,
K22,3.18.3,UX2023,,1,24,1,19,2,18,0,17,1,19,1,20,,,
K22,3.18.4,UX2023,,1,94,0,16,0,16,1,18,3,15,1,18,,,
K22,3.19.1,UX2023,,1,76,0,18,1,20,1,19,1,21,1,17,,,
K22,3.19.2,UX2023,,1,65,0,16,0,19,0,19,0,18,1,16,,,
K22,3.19.3,Parent,,1,GA05450-EL52,1,18,0,19,0,22,1,18,0,19,,,
K22,3.19.4,UX2023,,1,101,1,17,2,19,1,18,2,17,1,20,,,
K22,3.20.1,UX2023,,1,80,2,16,3,15,1,18,3,16,0,16,,,
K22,3.20.2,UX2023,,1,8,2,19,3,17,2,18,3,16,2,18,,,
K22,3.20.3,UX2023,,1,119,1,19,2,15,2,17,2,20,1,18,,,
K22,3.20.4,UX2023,,1,57,2,18,2,20,2,16,1,18,2,16,,,
K22,8.1.2,UX1992,,1,UX1992-114,1,20,3,15,3,17,2,17,2,19,,,
K22,8.1.3,UX1992,,1,UX1992-116,2,18,1,20,2,19,3,18,2,20,,,
K22,8.1.4,UX1992,,1,UX1992-124,2,17,5,15,2,18,0,20,1,19,,,
K22,8.2.1,UX1992,,1,UX1992-175,2,17,1,19,1,21,1,19,2,18,,,
K22,8.2.2,UX1992,,1,UX1992-90,1,21,0,21,1,18,2,20,1,20,,,
K22,8.2.3,Parent,,1,GA001138-8E36,3,18,2,20,1,18,2,21,3,17,,,
K22,8.2.4,UX1992,,1,UX1992-171,0,17,1,18,1,19,1,19,2,17,,,
K22,8.3.1,UX1992,,1,UX1992-24,0,22,4,17,2,20,2,18,3,19,,,1 might have +1/5
K22,8.3.2,Parent,,1,TX12D4896,1,17,2,17,2,18,2,19,0,21,,,
K22,8.3.3,UX1992,,1,UX1992-101,2,21,1,23,2,23,1,23,3,21,,,
K22,8.3.4,UX1992,,1,UX1992-159,3,18,0,20,3,17,1,18,1,19,,,
K22,8.4.1,UX1992,,1,UX1992-134,2,19,3,16,2,17,1,20,1,19,,,
K22,8.4.2,UX1992,,1,UX1992-163,2,19,2,18,1,14,2,20,1,19,,,
K22,8.4.3,UX1992,,1,UX1992-69,1,20,1,20,1,18,2,18,0,19,,,
K22,8.4.4,Parent,,1,NC8248-1,3,16,2,16,3,16,2,15,2,15,,,
K22,8.5.1,Parent,,1,GA05450-EL52,0,19,1,19,0,21,0,18,2,18,,,
K22,8.5.2,UX1992,,1,UX1992-181,2,17,2,17,2,18,1,19,2,17,,,
K22,8.5.3,UX1992,,1,UX1992-153,2,18,3,18,1,21,0,21,3,17,,,
K22,8.5.4,UX1992,,1,UX1992-144,2,17,1,21,1,21,0,20,0,20,,,
K22,8.6.1,UX1992,,1,UX1992-82,1,20,1,22,2,17,1,19,1,20,,,
K22,8.6.2,UX1992,,1,UX1992-180,1,18,2,18,3,17,1,19,2,19,,,
K22,8.6.3,Parent,,1,GA00190-7A14,0,17,0,14,1,15,0,16,0,18,,,
K22,8.6.4,UX1992,,1,UX1992-132,1,23,0,23,0,24,1,22,0,24,,,
K22,8.7.1,UX1992,,1,UX1992-197,3,17,1,18,1,16,2,18,1,19,,,
K22,8.7.2,UX1992,,1,UX1992-29,1,20,1,19,0,22,0,22,1,22,,,
K22,8.7.3,UX1992,,1,UX1992-126,1,18,3,18,2,21,2,21,0,21,,,
K22,8.7.4,UX1992,,1,UX1992-140,4,15,2,15,2,17,0,17,3,18,,,
K22,8.8.1,UX1992,,1,UX1992-207,1,19,0,23,0,23,0,24,1,23,,,
K22,8.8.2,Parent,,1,LA09264C-P2,1,16,1,14,2,15,1,11,1,17,,,
K22,8.8.3,UX1992,,1,UX1992-161,2,19,1,20,2,20,0,20,1,10,,,"Spike 5 is decimated on top, maybe had +7?"
K22,8.8.4,UX1992,,1,UX1992-5,2,18,0,20,1,18,1,20,0,19,,,
K22,8.9.1,UX1992,,1,UX1992-35,1,15,1,17,2,17,2,17,1,18,,,
K22,8.9.2,UX1992,,1,UX1992-81,0,23,2,20,0,24,0,21,0,22,,,
K22,8.9.3,UX1992,,1,UX1992-119,1,20,1,19,1,20,1,18,1,20,,,
K22,8.9.4,UX1992,,1,UX1992-93,2,20,2,17,2,19,1,19,1,19,,,
K22,8.10.1,UX1992,,1,UX1992-73,0,19,1,19,2,18,0,20,1,19,,,
K22,8.10.2,UX1992,,1,UX1992-102,1,22,2,18,2,20,1,20,2,22,,,
K22,8.10.3,Parent,,1,NC08-23383,1,16,0,18,1,16,1,16,,,,,
K22,8.10.4,UX1992,,1,UX1992-34,2,16,2,15,1,17,0,20,1,17,,,
K22,8.11.1,UX1992,,1,UX1992-54,1,18,0,16,1,20,2,15,1,20,,,
K22,8.11.2,UX1992,,1,UX1992-74,0,19,0,23,0,23,0,22,0,18,,,
K22,8.11.3,UX1992,,1,UX1992-162,1,19,1,20,1,18,0,21,2,18,,,
K22,8.11.4,UX1992,,1,UX1992-63,2,16,1,16,2,17,1,16,1,16,,,
K22,8.12.1,UX1992,,1,UX1992-48,0,20,0,22,1,21,0,21,1,22,,,
K22,8.12.2,Parent,,1,MPV57,1,19,0,23,1,19,2,20,0,20,,,
K22,8.12.3,UX1992,,1,UX1992-117,0,22,0,20,1,19,1,18,1,19,,,
K22,8.12.4,UX1992,,1,UX1992-39,2,16,2,16,1,16,1,15,0,18,,,
K22,8.13.1,UX1992,,1,UX1992-190,1,17,1,17,1,18,1,17,0,18,,,
K22,8.13.2,UX1992,,1,UX1992-137,1,20,2,17,0,19,0,19,0,18,,,
K22,8.13.3,UX1992,,1,UX1992-110,1,20,1,18,2,17,1,17,2,18,,,
K22,8.13.4,UX1992,,1,UX1992-193,0,20,1,18,1,21,0,20,1,19,,,
K22,8.14.1,UX1992,,1,UX1992-47,1,21,1,20,2,20,1,21,1,18,,,
K22,8.14.2,UX1992,,1,UX1992-165,0,18,0,16,2,16,1,18,0,18,,,
K22,8.14.3,Parent,,1,AGS2000,2,17,1,17,2,16,0,16,2,17,,,
K22,8.14.4,UX1992,,1,UX1992-146,1,19,3,16,2,16,2,18,2,17,,,
K22,8.15.1,UX1992,,1,UX1992-121,2,19,1,19,2,18,1,17,0,20,,,
K22,8.15.2,UX1992,,1,UX1992-20,1,19,2,16,3,19,3,16,1,15,,,
K22,8.15.3,UX1992,,1,UX1992-149,3,18,1,20,2,19,0,22,1,19,,,
K22,8.15.4,Parent,,1,ARGA051160-14LE31,2,17,1,19,1,17,0,18,1,17,,,
K22,8.16.1,UX1992,,1,UX1992-3,1,23,1,22,1,21,1,21,1,23,,,
K22,8.16.2,UX1992,,1,UX1992-10,3,18,1,17,1,18,1,16,1,17,,,
K22,8.16.3,UX1992,,1,UX1992-9,1,17,1,16,1,14,1,17,0,17,,,
K22,8.16.4,UX1992,,1,UX1992-49,1,18,1,17,1,17,1,19,0,20,,,
K22,8.17.1,UX1992,,1,UX1992-160,2,19,2,20,2,22,1,17,2,19,,,
K22,8.17.2,Parent,,1,Hilliard,2,16,2,17,1,20,1,17,0,16,,,
K22,8.17.3,UX1992,,1,UX1992-170,2,19,1,19,2,15,2,13,2,16,,,
K22,8.17.4,UX1992,,1,UX1992-174,2,16,0,19,2,15,2,16,2,15,,,
K22,8.18.1,UX1992,,1,UX1992-106,1,21,2,19,2,20,1,24,3,19,,,
K22,8.18.2,UX1992,,1,UX1992-33,1,17,1,19,2,18,1,17,1,15,,,
K22,8.18.3,UX1992,,1,UX1992-36,1,16,1,18,1,17,1,18,1,17,,,
K22,8.18.4,UX1992,,1,UX1992-32,0,19,0,20,0,20,0,19,0,19,,,
K22,8.19.1,UX1992,,1,UX1992-98,1,20,0,20,0,23,1,18,0,17,,,
K22,8.19.2,UX1992,,1,UX1992-173,0,18,0,20,1,17,0,20,0,21,,,
K22,8.19.3,UX1992,,1,UX1992-129,2,17,1,21,2,18,0,21,0,22,,,
K22,8.19.4,Parent,,1,SS8641,1,18,0,17,0,17,0,19,0,17,,,
K22,8.20.1,UX1992,,1,UX1992-125,1,18,1,19,0,19,0,21,0,18,,,
K22,8.20.2,UX1992,,1,UX1992-118,1,16,1,18,0,21,0,19,0,17,,,
K22,8.20.3,Parent,,1,GA06493-13LE6,2,19,1,22,2,18,1,19,0,22,,,
K22,8.20.4,UX1992,,1,UX1992-167,1,19,1,17,2,18,1,19,0,20,,,
K22,9.1.2,UX1991,,1,UX1991-137,4,18,0,22,3,19,3,19,1,18,,,
K22,9.1.3,UX1991,,1,UX1991-129,2,19,0,25,1,22,2,21,1,20,,,
K22,9.1.4,UX1991,,1,UX1991-99,2,19,1,23,3,20,0,21,1,27,,,
K22,9.2.1,UX1991,,1,UX1991-139,0,21,1,19,2,22,0,21,0,18,,,
K22,9.2.2,Parent,,1,GA06493-13LE6,2,18,1,24,1,24,1,22,1,23,,,
K22,9.2.3,UX1991,,1,UX1991-111,0,20,0,21,0,22,1,20,1,21,,,
K22,9.2.4,UX1991,,1,UX1991-132,1,22,0,22,2,21,1,20,0,21,,,
K22,9.3.1,UX1991,,1,UX1991-103,1,23,1,28,1,23,0,25,1,24,,,
K22,9.3.2,UX1991,,1,UX1991-84,2,22,0,21,0,22,0,23,0,22,,,
K22,9.3.3,UX1991,,1,UX1991-92,2,17,0,21,1,20,2,18,0,19,,,
K22,9.3.4,Parent,,1,AGS2000,0,22,2,19,1,19,3,18,2,17,,,
K22,9.4.1,UX1991,,1,UX1991-179,0,21,1,20,2,18,3,17,1,19,,,
K22,9.4.2,UX1991,,1,UX1991-175,1,24,0,23,3,20,0,21,3,21,,,
K22,9.4.3,UX1991,,1,UX1991-101,1,21,1,19,0,24,1,21,0,22,,,
K22,9.4.4,UX1991,,1,UX1991-125,3,18,4,20,2,20,1,18,3,18,,,
K22,9.5.1,UX1991,,1,UX1991-147,4,20,3,23,2,23,0,23,3,20,,,
K22,9.5.2,UX1991,,1,UX1991-97,3,21,0,23,1,22,2,22,1,21,,,
K22,9.5.3,UX1991,,1,UX1991-124,2,17,3,20,0,21,1,22,2,18,,,
K22,9.5.4,Parent,,1,SS8641,0,21,2,17,0,20,2,16,1,20,,,
K22,9.6.1,UX1991,,1,UX1991-169,3,15,1,19,2,17,2,17,2,18,,,
K22,9.6.2,Parent,,1,GA001138-8E36,2,19,1,21,1,21,2,15,3,18,,,
K22,9.6.3,UX1991,,1,UX1991-174,2,22,2,19,0,25,2,15,1,17,,,
K22,9.6.4,UX1991,,1,UX1991-86,0,17,4,19,2,17,2,21,2,21,,,"1 had another spike, unknown ab or he"
K22,9.7.1,UX1991,,1,UX1991-200,1,22,1,20,2,21,1,19,0,22,,,5 +2 ab/he
K22,9.7.2,UX1991,,1,UX1991-152,4,16,2,18,0,20,3,15,0,13,,,"1 broken, 5 missing base"
K22,9.7.3,UX1991,,1,UX1991-204,2,19,2,18,2,20,0,21,1,18,,,
K22,9.7.4,UX1991,,1,UX1991-109,1,21,1,20,1,21,1,21,2,20,,,
K22,9.8.1,UX1991,,1,UX1991-134,0,19,1,16,1,16,2,17,1,18,,,
K22,9.8.2,UX1991,,1,UX1991-144,2,21,3,18,2,19,1,22,4,17,,,
K22,9.8.3,Parent,,1,LA09264C-P2,1,17,2,12,1,14,1,11,0,10,,,5 missing base
K22,9.8.4,UX1991,,1,UX1991-113,2,18,1,19,1,18,1,19,0,21,,,
K22,9.9.1,UX1991,,1,UX1991-148,1,22,0,15,0,23,3,21,0,24,,,"4 missing base; 5 +2 ab/he, missing base"
K22,9.9.2,Parent,,1,MPV57,2,20,1,21,2,20,3,21,1,20,,,
K22,9.9.3,UX1991,,1,UX1991-115,1,18,1,19,2,20,3,18,3,16,,,
K22,9.9.4,UX1991,,1,UX1991-171,2,17,2,22,0,22,1,22,3,19,,,
K22,9.10.1,UX1991,,1,UX1991-170,1,19,0,18,0,18,0,19,1,18,,,2 mb; 4 +1 ab/he
K22,9.10.2,UX1991,,1,UX1991-100,2,17,1,17,2,17,1,17,3,15,,,
K22,9.10.3,UX1991,,1,UX1991-111,4,18,1,22,2,21,2,20,,,,,
K22,9.10.4,UX1991,,1,UX1991-91,3,18,4,18,3,21,2,22,1,22,,,3 mb
K22,9.11.1,UX1991,,1,UX1991-89,0,18,1,18,0,18,0,19,1,21,,,3 +1 ab/he; 4 +2 ab/he
K22,9.11.2,UX1991,,1,UX1991-131,3,18,3,18,3,16,0,15,2,19,,,
K22,9.11.3,UX1991,,1,UX1991-145,1,21,0,19,1,19,1,25,0,18,,,2 mb; 5 mb
K22,9.11.4,Parent,,1,GA05450-EL52,1,15,2,16,1,21,2,15,0,19,,,1 mb; 2 mb; 4 mb
K22,9.12.1,UX1991,,1,UX1991-166,2,19,1,20,3,19,2,19,1,20,,,2 +1 ab/he
K22,9.12.2,Parent,,1,ARGA051160-14LE31,3,19,3,18,2,19,2,16,2,18,,,
K22,9.12.3,UX1991,,1,UX1991-117,2,16,3,15,3,15,2,18,3,15,,,4 broken
K22,9.12.4,UX1991,,1,UX1991-93,0,21,2,19,0,21,1,21,2,18,,,5 mb
K22,9.13.1,UX1991,,1,UX1991-87,0,23,1,20,2,19,0,21,0,21,,,4 MB
K22,9.13.2,UX1991,,1,UX1991-85,2,15,2,19,2,18,3,18,3,15,,,1 mb; 2 broken
K22,9.13.3,UX1991,,1,UX1991-203,0,22,3,18,2,18,2,20,1,20,,,4 mb; 5 mb
K22,9.13.4,UX1991,,1,UX1991-202,1,17,0,19,0,17,0,18,1,16,,,
K22,9.14.1,UX1991,,1,UX1991-143,0,22,1,24,0,23,0,21,1,25,,,3 mb; 5 broken
K22,9.14.2,UX1991,,1,UX1991-142,0,24,0,23,0,22,0,24,0,24,,,3 +1 ab/he; 4 mb; 5 broken
K22,9.14.3,Parent,,1,TX12D4896,1,22,1,19,3,16,0,19,2,17,,,1 mb; 4 +1 ab/he
K22,9.14.4,UX1991,,1,UX1991-178,0,22,2,18,0,18,1,21,1,21,,,"1 mb, +1 ab/he; 3 mb, +2 ab/he; 4 mb; 5 broken, mb"
K22,9.15.1,Parent,,1,GA00190-7A14,2,17,2,17,3,16,1,18,4,14,,,2 mb; 5 mb
K22,9.15.2,UX1991,,1,UX1991-114,0,19,0,21,2,20,1,20,1,18,,,1 +2 ab/he; 2 mb; 3 mb; 5 mb
K22,9.15.3,UX1991,,1,UX1991-98,1,19,1,21,2,20,0,21,0,20,,,
K22,9.15.4,UX1991,,1,UX1991-155,3,15,1,19,2,19,2,19,1,18,,,3 mb
K22,9.16.1,UX1991,,1,UX1991-160,2,21,1,23,1,23,3,17,2,23,,,3 4 & 5 broken
K22,9.16.2,Parent,,1,NC08-23383,0,17,0,17,2,16,0,15,1,15,,,"1 +1 ab/he; 2 +1 ab/he; 3 mb; 4 mb, +1 ab/he"
K22,9.16.3,UX1991,,1,UX1991-159,1,22,2,20,0,21,0,21,2,21,,,
